cluster,memberCount
SwitchCase-4-0-0,25
ReturnStatement-10-0-0,12
ExpressionStatement-4-2-2,5
VariableDeclarationStatement-7-0-0,4
IfStatement-3-1-0,4
ExpressionStatement-4-2-0,4
IfStatement-4-8-0,3
IfStatement-5-1-0,3
ExpressionStatement-7-1-0,2
FieldDeclaration-6-0-0,2
ExpressionStatement-25-0-0,2
ExpressionStatement-5-1-0,2
ExpressionStatement-2-0-1,2
ForStatement-35-0-0,2
EnhancedForStatement-12-1-0,2
ForStatement-17-0-0,2
VariableDeclarationStatement-7-0-1,2
IfStatement-54-0-0,2
IfStatement-26-0-0,2
ReturnStatement-3-2-0,2
VariableDeclarationStatement-6-1-1,2
FieldDeclaration-2-0-0,2
